surprise,surprisePercentage,reported_Quarterly_EPS,estimated_Quarterly_EPS,reported_Annual_EPS
2020-10-29,4.8388,64.2501,12.37,7.5312,
2020-07-30,8.6983,543.0667,10.3,1.6017,
2020-04-30,-1.2389,-19.8259,5.01,6.2489,
2020-01-30,2.4964,62.8246,6.47,3.9736,23.01
2019-10-24,-0.2599,-5.7885,4.23,4.4899,
2019-07-25,-0.3232,-5.8306,5.22,5.5432,
2019-04-25,2.4145,51.6415,7.09,4.6755,
2019-01-31,0.5259,9.5374,6.04,5.5141,20.13
2018-10-25,2.6622,86.2167,5.75,3.0878,
2018-07-26,2.5266,99.3395,5.07,2.5434,
2018-04-26,2.0522,168.517,3.27,1.2178,
2018-02-01,0.3195,17.4428,2.1512,1.8317,4.5512
2017-10-26,0.5055,3486.2069,0.52,0.0145,
2017-07-27,-0.9969,-71.3652,0.4,1.3969,
2017-04-27,0.37799999999999995,34.3013,1.48,1.102,
2017-02-02,0.1192,8.3896,1.54,1.4208,4.91
2016-10-27,-0.2893,-35.7469,0.52,0.8093,
2016-07-28,0.6633,59.3982,1.78,1.1167,
2016-04-28,0.4559,74.2387,1.07,0.6141,
2016-01-28,-0.5941,-37.2687,1.0,1.5941,1.24
2015-10-22,0.31,221.4286,0.17,-0.14,
2015-07-23,0.33,235.7143,0.19,-0.14,
2015-04-23,0.0,0.0,-0.12,-0.12,
2015-01-29,0.28,164.7059,0.45,0.17,-0.54
2014-10-23,-0.22,-30.136999999999997,-0.95,-0.73,
2014-07-24,-0.12,-80.0,-0.27,-0.15,
2014-04-24,0.0,0.0,0.23,0.23,
2014-01-30,-0.15,-22.7273,0.51,0.66,0.58
2013-10-24,0.0,0.0,-0.09,-0.09,
2013-07-25,-0.07,-140.0,-0.02,0.05,
2013-04-25,0.1,125.0,0.18,0.08,
2013-01-29,-0.07,-25.0,0.21,0.28,0.42
2012-10-25,-0.15,-187.5,-0.23,-0.08,
2012-07-26,0.14,700.0,0.16,0.02,
2012-04-26,0.21,300.0,0.28,0.07,
2012-01-31,0.21,123.5294,0.38,0.17,1.37
2011-10-25,-0.1,-41.6667,0.14,0.24,
2011-07-26,0.06,17.1429,0.41,0.35,
2011-04-26,-0.17,-27.8689,0.44,0.61,
2011-01-27,0.03,3.4091,0.91,0.88,2.53
2010-10-21,0.03,6.25,0.51,0.48,
2010-07-22,-0.09,-16.6667,0.45,0.54,
2010-04-22,0.05,8.1967,0.66,0.61,
2010-01-28,0.13,18.0556,0.85,0.72,2.03
2009-10-22,0.12,36.3636,0.45,0.33,
2009-07-23,0.01,3.2258,0.32,0.31,
2009-04-23,0.1,32.2581,0.41,0.31,
2009-01-29,0.13,33.3333,0.52,0.39,1.5
2008-10-22,0.02,8.0,0.27,0.25,
2008-07-23,0.11,42.3077,0.37,0.26,
2008-04-23,0.02,6.25,0.34,0.32,
2008-01-30,0.0,0.0,0.48,0.48,1.12
2007-10-23,0.01,5.5556,0.19,0.18,
2007-07-24,0.03,18.75,0.19,0.16,
2007-04-24,0.11,73.3333,0.26,0.15,
2007-02-01,0.02,9.5238,0.23,0.21,0.45
2006-10-24,0.02,66.6667,0.05,0.03,
2006-07-25,-0.01,-16.6667,0.05,0.06,
2006-04-25,0.0,0.0,0.12,0.12,
2006-02-02,0.26,123.8095,0.47,0.21,0.84
2005-10-25,-0.03,-30.0,0.07,0.1,
2005-07-26,0.01,9.0909,0.12,0.11,
2005-04-26,-0.05,-21.7391,0.18,0.23,
2005-02-02,-0.05,-12.5,0.35,0.4,0.93
2004-10-21,-0.01,-5.5556,0.17,0.18,
2004-07-22,-0.01,-5.2632,0.18,0.19,
2004-04-22,0.03,15.0,0.23,0.2,
2004-01-27,0.0,0.0,0.29,0.29,0.6
2003-10-21,0.01,10.0,0.11,0.1,
2003-07-22,0.04,66.6667,0.1,0.06,
2003-04-24,0.06,150.0,0.1,0.04,
2003-01-23,0.05,35.7143,0.19,0.14,0.0776
2002-10-24,-0.0524,-131.0,-0.0924,-0.04,
2002-07-23,0.05,83.3333,-0.01,-0.06,
2002-04-23,0.08,88.8889,-0.01,-0.09,
2002-01-22,0.16,228.5714,0.09,-0.07,-0.44
2001-10-23,0.0,0.0,-0.16,-0.16,
2001-07-23,0.06,27.2727,-0.16,-0.22,
2001-04-24,0.04,16.0,-0.21,-0.25,
2001-01-30,0.01,3.8462,-0.25,-0.26,-1.18
2000-10-24,0.04,13.7931,-0.25,-0.29,
2000-07-26,0.02,5.7143,-0.33,-0.35,
2000-04-26,0.01,2.7778,-0.35,-0.36,
2000-02-02,-0.06,-12.2449,-0.55,-0.49,-1.17
1999-10-27,0.02,7.1429,-0.26,-0.28,
1999-07-21,0.01,3.8462,-0.25,-0.26,
1999-04-28,0.03,21.4286,-0.11,-0.14,
1999-01-26,0.02,22.2222,-0.07,-0.09,-0.25
1998-10-28,0.02,20.0,-0.08,-0.1,
1998-07-22,0.0,0.0,-0.07,-0.07,
1998-04-27,0.01,25.0,-0.03,-0.04,
1998-01-22,0.01,25.0,-0.03,-0.04,
1997-10-27,0.0,0.0,-0.03,-0.03,
